username,text,hashtags
Tarzanification,"@ShawnMendes @JayShettyIW @IndiasporaForum Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe",[]
TusharrBhumkar,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
rjosephxo,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
luckythebrand,"So grateful to my dear friend @ShawnMendes for supporting our fundraiser for @GiveIndia If anyone in Canada is struggling to donate, please swipe up and donate here https://t.co/SBfWouh6X7 #helpindiabreathe",[]
lostinjapan98,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
nepneeplus,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
_MartinDean,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
305SKZ,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
kushhshetty,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
JasonFarfan,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
higherinred,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
maheshkotha499,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
OlegSasov2,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
TomWillCraig,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
RUNCH02,"Thank you @JayShettyIW ♥️
We are very grateful for your support in India's Covid-19 fight 🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe
https://t.co/uuzyG6Kiqh","[{'text': 'TogetherForIndia', 'indices': [108, 125]}]"
kunel920,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
